olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido,año,campaña_otoño,campaña_primavera,campaña_verano,codigo
0.0,0.0,0.0,0.0,12.0,16.0,10.13,8.63,10000.0,500.0,100.0,4.1,0.6,0.29,0.24,7.1,16.0,11.428571428571429,358712.0,2021.0,0.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,24.0,23.0,6.69,7.248571428571428,500.0,500.0,200.0,5.0,0.6,0.19,0.3142857142857142,2.0,18.0,0.0,297282.0,2023.0,0.0,1.0,0.0,30.0
1.0,0.0,0.0,0.0,15.8,15.0,10.83,9.39,70000.0,2000.0,370.0,5.8,1.3557142857142856,0.54,0.54,16.0,60.0,0.0,358712.0,2022.0,1.0,0.0,0.0,12.0
0.0,1.0,0.0,1.0,24.5,20.0,1.5,6.54,18000.0,1500.0,100.0,5.6,2.0,0.73,0.6,3.5,12.0,0.0,446949.0,2022.0,0.0,0.0,1.0,37.0
0.0,0.0,0.0,1.0,25.4,33.0,6.2,6.9,2000.0,1000.0,58.0,4.2,3.3,0.7742857142857142,0.14,4.257142857142857,36.0,0.0,446949.0,2021.0,0.0,1.0,0.0,36.0
0.0,0.0,0.0,0.0,18.0,13.0,5.93,8.35,500.0,500.0,140.0,3.7,0.09,0.17,0.12,2.1,32.0,0.0,100930.0,2023.0,1.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,8.0,10.0,9.7,8.04,15000.0,1500.0,1000.0,4.2,0.2,0.56,0.44,7.0,29.0,0.0,100930.0,2021.0,0.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,14.4,11.0,3.31,6.79,10000.0,10000.0,1700.0,2.1,2.8,0.44,0.48,4.6,20.0,0.0,446949.0,2021.0,0.0,0.0,0.0,33.0
0.0,0.0,0.0,0.0,17.32857142857143,11.0,8.464285714285714,8.495714285714286,6099.285714285715,5478.571428571428,817.8571428571429,7.0,0.09,0.27,0.15,3.0,20.0,15.0,63997.0,2023.0,1.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,24.7,20.785714285714285,8.0,7.5,400.0,200.0,20.0,5.1,0.5,0.18,0.35,4.9,31.0,0.0,3121707.0,2022.0,0.0,0.0,1.0,17.0
0.0,0.0,0.0,0.0,23.0,19.0,6.14,7.0,3100.0,2700.0,340.0,4.4,0.4,0.29,0.3342857142857142,3.0,75.4,0.0,297282.0,2024.0,0.0,0.0,1.0,28.0
0.0,0.0,0.0,0.0,26.5,20.785714285714285,8.7,8.1,380.0,340.0,30.0,4.928571428571429,0.8,0.76,0.2185714285714285,8.27142857142857,105.0,0.0,3121707.0,2021.0,0.0,0.0,1.0,17.0
0.0,0.0,1.0,0.0,27.0,23.0,8.16,8.18,700.0,400.0,30.0,4.3,1.0171428571428571,0.44,0.59,3.2142857142857144,66.0,0.0,100930.0,2024.0,0.0,0.0,1.0,9.0
0.0,0.0,0.0,0.0,11.9,4.0,12.61,8.95,1600.0,100.0,160.0,3.9,1.8,1.0814285714285714,0.11,3.6,23.0,0.0,100930.0,2021.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,16.7,14.5,3.6,7.7,25000.0,6000.0,70.0,3.1,2.6,0.55,0.55,4.9,34.0,60.0,367554.0,2021.0,1.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,27.0,26.0,5.83,6.9,6000.0,800.0,760.0,5.9,0.75,0.22,0.18,1.9,19.0,0.0,297282.0,2022.0,0.0,0.0,1.0,28.0
0.0,0.0,0.0,0.0,11.4,4.0,12.47,9.44,300.0,100.0,110.0,5.1,1.1,0.41,0.37,8.8,31.0,8.571428571428571,63997.0,2021.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,20.4,14.0,7.78,7.177142857142857,1300.0,1000.0,260.0,3.7,0.74,0.23,0.23,3.957142857142857,39.0,0.0,171616.0,2022.0,0.0,1.0,0.0,27.0
0.0,0.0,0.0,0.0,26.3,25.2,4.43,7.81,2500.0,2000.0,140.0,8.6,0.049,0.69,0.52,9.2,17.0,0.0,367554.0,2022.0,0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0,25.0,32.0,6.4,7.4,15000.0,2400.0,290.0,3.4,2.1,0.31,0.27,2.8,11.0,0.9857142857142858,297282.0,2021.0,0.0,1.0,0.0,28.0
0.0,0.0,0.0,1.0,21.5,23.0,3.85,6.66,2200.0,100.0,270.0,5.4,0.049,0.28,0.39,1.9,28.0,0.0,171616.0,2022.0,0.0,0.0,1.0,27.0
0.0,0.0,0.0,1.0,24.0,22.0,5.07,6.5,11000.0,11000.0,3000.0,4.2,1.8,0.25,0.3042857142857143,3.8,18.0,0.0,282281.0,2023.0,0.0,1.0,0.0,40.0
0.0,0.0,0.0,0.0,21.0,27.0,4.91,7.4,1800.0,1500.0,480.0,3.1,2.0,0.77,0.47,4.7,16.0,0.0,100930.0,2021.0,0.0,0.0,1.0,7.0
0.0,0.0,0.0,0.0,24.69,25.0,3.03,7.0,7000.0,2200.0,200.0,9.9,1.1842857142857144,0.64,0.57,4.9,23.0,0.0,367554.0,2023.0,0.0,0.0,1.0,4.0
0.0,0.0,0.0,0.0,22.0,20.0,4.9,7.55,2100.0,1900.0,290.0,5.1,0.43,0.26,0.3957142857142857,7.0,71.2,0.0,367554.0,2024.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,14.5,13.0,1.1,7.34,4000.0,2000.0,2000.0,13.3,8.0,0.72,0.4,4.4,8.0,0.0,367554.0,2023.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,16.2,14.5,4.67,7.69,9000.0,6400.0,600.0,3.4,2.7,0.48,0.48,7.4,30.0,75.0,367554.0,2021.0,1.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,15.3,13.0,4.74,6.75,82000.0,25000.0,2100.0,2.9,3.2,0.44,0.44,7.2,27.142857142857142,110.0,446949.0,2021.0,1.0,0.0,0.0,34.0
0.0,0.0,0.0,0.0,11.0,15.0,12.67,9.44,5000.0,800.0,600.0,3.2,0.1,0.75,0.75,3.1,43.0,80.0,358712.0,2021.0,1.0,0.0,0.0,13.0
0.0,0.0,0.0,0.0,26.4,20.785714285714285,7.9,7.7,1700.0,1600.0,480.0,4.928571428571429,0.1,0.45,0.17,6.0,65.0,0.0,3121707.0,2023.0,0.0,0.0,1.0,16.0
0.0,0.0,0.0,0.0,25.6,16.428571428571427,2.46,6.97,1500.0,100.0,370.0,3.7,1.5,0.74,0.48,9.5,34.0,0.0,367554.0,2021.0,0.0,0.0,1.0,5.0
0.0,0.0,0.0,0.0,23.7,15.428571428571429,7.6,7.904285714285713,4435.714285714285,1600.0,350.0,6.4,2.1498571428571425,0.5,0.3714285714285714,5.471428571428571,73.6,0.0,63997.0,2024.0,0.0,1.0,0.0,20.0
0.0,0.0,0.0,0.0,17.0,15.0,4.24,7.84,15000.0,6800.0,1200.0,6.2,0.62,0.21,0.2,7.957142857142857,40.0,0.0,63997.0,2023.0,1.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,23.9,28.0,4.59,6.76,2000.0,100.0,100.0,5.942857142857142,1.5,0.25,0.29,2.4,15.0,0.0,367554.0,2021.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,22.0,19.0,8.28,8.11,900.0,570.0,110.0,6.4,0.44,0.17,0.2657142857142857,3.0857142857142854,32.0,0.0,63997.0,2023.0,0.0,1.0,0.0,21.0
0.0,0.0,0.0,1.0,23.0,24.0,1.95,6.65,7000.0,2000.0,1600.0,2.9,0.71,0.44,0.3485714285714286,4.6,3.1,0.0,446949.0,2023.0,0.0,1.0,0.0,37.0
0.0,0.0,0.0,0.0,21.185714285714287,28.0,5.675714285714286,8.23,6000.0,200.0,20.0,7.5,0.07,0.43,0.19,5.6,31.0,0.0,63997.0,2021.0,0.0,1.0,0.0,18.0
1.0,1.0,0.0,1.0,24.6,29.0,1.81,6.71,4000.0,1000.0,1350.0,2.857142857142857,3.1,0.47,0.39,6.0,19.0,0.0,446949.0,2021.0,0.0,1.0,0.0,32.0
0.0,0.0,0.0,0.0,19.0,15.0,4.45,7.48,39428.57142857143,5673.0,482.8571428571428,8.9,0.44,0.26,0.25,4.1,32.0,0.0,367554.0,2023.0,1.0,0.0,0.0,5.0
0.0,1.0,0.0,0.0,18.2,16.0,5.79,6.94,60000.0,2000.0,380.0,4.5,0.05,0.25,0.22,2.5,80.0,0.0,446949.0,2022.0,1.0,0.0,0.0,33.0
0.0,1.0,0.0,1.0,11.0,19.0,8.29,8.39,3600.0,170.0,2.0,3.9,0.11,0.7800000000000001,0.11,3.0,50.0,0.0,100930.0,2021.0,0.0,1.0,0.0,8.0
0.0,1.0,0.0,1.0,22.6,23.0,8.5,8.2,27329.0,575.7142857142857,79.71428571428571,11.6,0.1,0.3728571428571428,0.32,6.471428571428572,87.8,0.0,633391.0,2024.0,0.0,1.0,0.0,25.0
