ica
40.0
80.0
62.0
35.0
29.0
37.0
39.0
47.0
58.0
41.0
53.0
37.0
48.0
40.0
47.0
37.0
37.0
38.0
27.0
47.0
48.0
41.0
35.0
33.0
87.0
43.0
38.0
44.0
45.0
39.0
36.0
35.0
48.0
36.0
41.0
40.0
37.0
76.0
50.0
46.0
59.0
60.0
39.0
46.0
58.0
58.0
44.0
42.0
51.0
36.0
43.0
37.0
51.0
37.0
41.0
29.0
44.0
40.0
47.0
62.0
34.0
52.0
38.0
34.0
46.0
34.0
41.0
40.0
49.0
81.0
38.0
46.0
50.0
80.0
36.0
41.0
38.0
63.0
42.0
49.0
50.0
46.0
38.0
43.0
40.0
41.0
42.0
64.0
46.0
60.0
43.0
40.0
65.0
59.0
35.0
63.0
28.0
38.0
39.0
35.0
34.0
39.0
44.0
36.0
36.0
32.0
45.0
53.0
35.0
35.0
44.0
40.0
28.0
60.0
63.0
36.0
54.0
28.0
38.0
36.0
42.0
45.0
34.0
32.0
43.0
38.0
37.0
42.0
35.0
33.0
46.0
39.0
35.0
39.0
58.0
52.0
42.0
60.0
49.0
38.0
35.0
39.0
35.0
43.0
45.0
34.0
35.0
59.0
58.0
59.0
59.0
42.0
44.0
61.0
76.0
40.0
45.0
37.0
37.0
41.0
39.0
61.0
49.0
40.0
38.0
37.0
33.0
81.0
36.0
37.0
28.0
44.0
54.0
39.0
38.0
50.0
36.0
60.0
37.0
53.0
43.0
40.0
45.0
38.0
42.0
35.0
33.0
35.0
35.0
37.0
30.0
40.0
37.0
38.0
42.0
45.0
35.0
42.0
39.0
35.0
36.0
47.0
39.0
59.0
86.0
36.0
37.0
46.0
40.0
59.0
54.0
35.0
31.0
34.0
41.0
33.0
36.0
30.0
46.0
29.0
26.0
36.0
35.0
65.0
38.0
51.0
91.0
72.0
25.0
48.0
40.0
39.0
40.0
39.0
38.0
26.0
43.0
40.0
46.0
33.0
38.0
56.0
33.0
34.0
41.0
35.0
37.0
43.0
42.0
54.0
53.0
36.0
41.0
51.0
36.0
39.0
58.0
36.0
48.0
40.0
36.0
55.0
38.0
44.0
46.0
50.0
42.0
51.0
33.0
62.0
53.0
37.0
38.0
36.0
46.0
48.0
55.0
61.0
39.0
50.0
40.0
38.0
49.0
56.0
49.0
40.0
74.0
36.0
32.0
55.0
50.0
50.0
38.0
38.0
33.0
35.0
54.0
31.0
41.0
46.0
30.0
34.0
32.0
62.0
60.0
45.0
38.0
41.0
41.0
35.0
52.0
42.0
35.0
44.0
40.0
37.0
39.0
42.0
37.0
37.0
40.0
49.0
64.0
39.0
32.0
48.0
36.0
93.0
37.0
35.0
44.0
42.0
37.0
34.0
29.0
40.0
37.0
42.0
31.0
56.0
41.0
49.0
40.0
55.0
34.0
35.0
41.0
32.0
40.0
37.0
25.0
57.0
49.0
45.0
36.0
37.0
36.0
42.0
37.0
39.0
59.0
49.0
74.0
23.0
36.0
62.0
31.0
37.0
46.0
41.0
29.0
42.0
33.0
28.0
40.0
56.0
39.0
67.0
56.0
36.0
40.0
47.0
30.0
34.0
55.0
38.0
54.0
34.0
45.0
40.0
42.0
47.0
49.0
62.0
37.0
51.0
51.0
30.0
42.0
42.0
29.0
39.0
55.0
37.0
35.0
37.0
54.0
