model,dataset,MAE_train,MAE_test,RMSE_train,RMSE_test,R2_train,R2_test,gen_gap_rmse,rel_gap_rmse
XGBoost_A_std,A,0.1632213358211283,4.245536654603248,0.2401375451566734,6.31402912990735,0.999528766988836,0.7090388450598432,6.073891584750677,25.293385841695777
RandomForest_B_std,B,1.7173065110565109,4.7271568627450975,2.580706951282304,6.957815694172176,0.9455756869239436,0.6466804321239996,4.377108742889872,1.6960890273548004
LASSO_A_std,A,6.527098644034765,7.213173237107799,8.967902088227369,10.3910360416935,0.34280040223111996,0.21197580509960712,1.423133953466131,0.15869195933062138
Regresor_Polinomico_A_std,A,6.546483798659122,7.359550938179375,8.904704727720464,10.470809605022893,0.35203041739013075,0.19982979692888292,1.566104877302429,0.17587386950933342
Neural_Network_A_std,A,7.927869564362904,7.699104404396703,10.055259038894933,10.580532487284747,0.17376783232390147,0.18297207655674141,0.5252734483898145,0.05223867891995048
