codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
VL032,2024.0,verano,0.0,0.0,0.0,1.0,0.5073045676645705,0.4236708874136912,-0.28611493312676406,-0.20776747655483555,-0.2556098191234516,0.21782837416330397,0.4315830346980246,0.5639976191672528,-0.4984208115301722,-0.6715109767805293,-0.3849439548719173,-0.7687229573128268,1.4076367408283594,-0.23814620876225992,-0.30321317960213917
TI009,2021.0,invierno,0.0,0.0,0.0,0.0,-1.1893682189485209,-1.2186475492925313,1.1142293140532828,-0.6864870835359163,0.1284172200793453,0.6856720797375387,0.11003147623701541,-0.9449015670495561,-0.0011932155729235333,-0.4392569147030488,-0.19825905639369842,0.39931594493095884,-0.2620073224692699,2.1281094364846918,-0.06946357872759136
TI008,2023.0,verano,0.0,0.0,0.0,0.0,1.8522281180286067,1.7375256367786691,0.1265809785106805,-0.7155003930499205,-0.3948590424351417,-0.4010855676161793,-0.40932201327319223,-0.7964852536511815,1.8866973136684506,0.34630829526490065,-0.7769822416761762,-0.5670134280096834,-0.2924752798287157,-0.23814620876225992,-0.06946357872759136
BS092,2023.0,otoño,0.0,0.0,0.0,0.0,-0.5272520095385341,-0.8901838619512867,-0.003929694400306283,1.692604296612484,-0.40842735090173193,-0.3808879098424899,-0.4054822641956981,-0.12861184335849563,-0.6086242892621218,-0.743236495951516,-0.9076616706109292,-0.9000686973241762,0.2254799952818628,-0.23814620876225992,-0.5606446408951659
TI005,2023.0,invierno,1.0,1.0,0.0,1.0,-0.8790012457875895,-1.3828793929631533,-0.7799391008980654,-0.5269138812088889,-0.3065546569204114,-0.11399028926159382,0.3163905623732004,4.2249333496604935,0.9434080221295014,0.8825419385908483,1.0960895730552833,0.08502435276094417,-0.3534111945476073,-0.23814620876225992,-0.06946357872759136
VL033,2023.0,otoño,0.0,0.0,0.0,0.0,-0.32034069409791316,-0.39748833093942,0.09130782366987308,-1.1652066905169958,-0.4083865950314944,-0.40949644938908,-0.1443793269260965,0.6629418280995022,-0.36372767208001155,-0.743236495951516,-0.7769822416761762,-0.13075793440055822,-0.7190266828609567,-0.23814620876225992,-0.30321317960213917
CA047,2023.0,otoño,0.0,0.0,0.0,0.0,-0.32034069409791316,-0.06902464359817553,0.44403937207794536,-0.33832736936785734,-0.4083747079026751,-0.4094459552446457,-0.15973832323607307,-0.2699607132617095,-0.4953596038153958,-0.8866875342934891,-1.038341099545682,0.5447344428006672,0.926243014549116,-0.23814620876225992,3.7274102215007696
QU063,2021.0,invierno,0.0,0.0,0.0,0.0,-1.3342061397569558,-1.8755749239750201,0.8073528669382602,0.5755918803232963,-0.238628206524465,-0.3736744606376008,-0.3978027660407098,-0.5738607835536195,-0.342299218076577,-0.16943234258362264,-0.21070471629224646,0.9059352278318779,-0.5971548534231735,0.5199745319479285,0.19519466140560052
EN084,2021.0,primavera,0.0,0.0,0.0,0.0,0.5073045676645705,1.4090619494374246,0.8320440753268248,0.8947382849773511,-0.4016516874747363,-0.4025282574571571,-0.36516489888200965,0.46505341023500296,-0.4218906186607628,-0.743236495951516,-1.1254607188355175,-0.47319504228729065,-0.3838791519070531,-0.03138600675039035,-0.6130717913378728
AV052,2024.0,verano,0.0,1.0,0.0,1.0,0.5073045676645705,0.2594390437430689,-0.9598321905861822,-0.12072754801282018,-0.3795755910960537,-0.3231803162033772,-0.32868728264581526,-0.12861184335849563,-0.4525026958085265,-0.6236939639998714,-0.14847641679950743,-0.48257688085953004,0.7586692490721642,-0.23814620876225992,-0.18216640842999088
AV054,2021.0,primavera,0.0,0.0,0.0,0.0,0.3831577784001977,1.5732937931080468,-0.7411386305731773,-0.9911268334329675,-0.39146271991534437,-0.4025282574571571,-0.3786040206532391,-0.019066469183505005,-0.342299218076577,-0.6715109767805293,-0.47206357416175243,-0.8672322623213388,-0.7190266828609567,-0.23814620876225992,-0.18216640842999088
TI005,2022.0,otoño,0.0,0.0,0.0,1.0,-0.5272520095385341,-0.8901838619512867,-0.7235020531527737,-1.1216867262459893,1.391606602978248,0.16733422972908038,-0.15589857415857894,1.3060791861591259,-0.5841346275439108,-0.04988981063197823,0.09421395122217695,-0.6045407822986401,1.2918585028624654,-0.23814620876225992,-0.06946357872759136
BZ080,2024.0,primavera,0.0,0.0,0.0,0.0,-0.3162024677891008,0.6207490998184377,1.8045753445090809,2.3516208984305993,-0.05279841985375469,-0.23661892574470822,-0.2595717992509207,-0.0791397388923707,-0.6178079124064508,0.16528674688098166,-0.19203622644442464,-1.0970873073412002,0.5667211177076558,-0.23814620876225992,-0.19471780864698962
SI024,2023.0,invierno,0.0,0.0,0.0,0.0,-1.2100593504925834,-0.7259520182806645,0.11247171657435759,-0.3217483353598569,-0.3524050109376752,-0.2438323749495973,0.12440310849849336,-0.0013978604456031077,1.9536065680057055,2.317052322010581,0.9654101441205303,-0.3418493022759413,-1.0237062564554147,-0.23814620876225992,-0.28191895265628997
AV055,2021.0,primavera,0.0,0.0,0.0,0.0,1.1280385139864333,1.7539488211457315,-0.7411386305731773,-0.8605669406199444,-0.3065546569204114,-0.395314808252268,-0.41316176235068636,-0.9449015670495561,-0.5259716809631596,-0.40851740648691154,0.09421395122217695,-0.5388679122929653,-0.7799625975798483,-0.23814620876225992,-0.18216640842999088
QU062,2023.0,otoño,0.0,0.0,0.0,0.0,-0.5272520095385341,0.7521345747549356,-0.22615056989739177,-0.7155003930499205,-0.408393387676534,-0.3491487333409779,-0.41776946124367936,-0.8212213058842438,-0.5810734198291344,-0.934504547074147,-1.1254607188355175,-0.31370378655922365,0.9871789292680075,-0.23814620876225992,0.19519466140560052
TI003,2023.0,invierno,1.0,0.0,0.0,0.0,-0.920383508875714,-1.2186475492925313,-0.20851399247698824,-0.4979005716948834,-0.2216465939254784,-0.03464234800781391,0.08600561772355195,2.394465484413873,0.42300271061751726,-0.40851740648691154,-0.21070471629224646,-0.3418493022759413,0.042672251125188035,-0.23814620876225992,-0.06946357872759136
CA046,2021.0,primavera,0.0,0.0,0.0,0.0,0.9625094616339365,0.10693804604891997,0.5145856817595599,0.2419388209122409,1.2897169273843285,2.836310435538041,-0.2634115483284149,0.019804470039878907,0.11688193913987956,-0.5895389548708302,-0.9512214802558467,0.11786078776378169,-0.5057509813448362,-0.23814620876225992,3.7274102215007696
BS095,2024.0,verano,1.0,0.0,0.0,1.0,-0.11342937865729223,0.09520720007244671,0.4757852114346721,1.054311487304377,2.648245935303256,6.803707498227036,2.758690389892474,-0.4395793571455663,-0.16129437905572808,0.0696527213196663,2.340655562910074,1.6236458786081802,2.2559517250220713,-0.23814620876225992,-0.5606446408951659
TI006,2024.0,verano,0.0,0.0,0.0,0.0,0.7142158831051915,0.9163664184255579,-0.5894640647577063,-1.0056334881899696,-0.37108478479656043,-0.2654727225642645,-0.41316176235068636,-1.0438457759818058,-0.5749510043995816,-0.719327989561187,-0.702308282284889,-0.3559220601343001,2.6933845413969717,-0.23814620876225992,-0.06946357872759136
QU062,2022.0,verano,0.0,0.0,0.0,0.0,0.9211271985458125,0.7521345747549356,1.1459751534100093,0.5900985350802999,-0.39146271991534437,-0.4025282574571571,-0.44771950404813365,-0.0791397388923707,-0.6300527432655564,-0.33679188731592485,-0.428503764516835,-0.31370378655922365,-0.3534111945476073,-0.23814620876225992,0.19519466140560052
BS094,2023.0,primavera,0.0,0.0,0.0,0.0,0.09348193678332871,0.2594390437430689,1.2129941476075428,1.3879645467154338,-0.39146271991534437,-0.3520341130229335,-0.1251805815386258,-0.49611890510685186,-0.5474001349665942,-0.36070039370625373,1.008969953765448,-1.0314144373355254,-0.10966753567204092,-0.23814620876225992,-0.5606446408951659
SI022,2023.0,otoño,0.0,0.0,0.0,0.0,-0.32034069409791316,0.4236708874136912,-0.0074570098843869306,-0.41293302240387014,-0.40842225641795227,-0.3664610114327117,-0.401642515118204,-0.17808394782462056,-0.41270699551643364,-0.910596040683818,-1.0819009091905998,-0.3230856251314626,-0.4448150666259446,-0.23814620876225992,-0.28191895265628997
CA041,2023.0,otoño,0.0,0.0,0.0,0.0,-0.11342937865729223,0.09520720007244671,-1.4607109893256447,-0.048194274227808226,-0.4050480099945336,-0.39964287777520147,-0.38244376973073324,-0.2699607132617095,0.5760630963563361,-0.5451374430030766,-0.8205420513210938,1.201463142857414,-0.6276228107826194,-0.23814620876225992,3.7274102215007696
VL032,2024.0,primavera,0.0,0.0,0.0,0.0,1.1487296455304958,0.6371722841855002,-0.6847015828278856,-0.19326082179783213,-0.16997397273141918,-0.10677684005670474,0.6180851327477401,-0.7470131491850566,-0.4953596038153958,-0.10453782523844438,-0.2542645259371642,-0.29494010941474497,-0.3016156670365494,-0.23814620876225992,-0.30321317960213917
VL033,2021.0,otoño,0.0,0.0,0.0,0.0,-0.941074640419776,-0.7587983870147887,1.2941224037413996,0.08236561858521355,-0.3065546569204114,-0.2654727225642645,-0.1328600796936141,-0.054403686659308365,-0.37291129522434074,-0.40851740648691154,-0.12358509700241131,1.168626707854577,-0.5949785707546417,7.802528313921557,-0.30321317960213917
BS092,2021.0,primavera,0.0,0.0,0.0,1.0,-1.9756312176228807,0.09520720007244671,0.6556783011227886,0.6916451183793161,0.2708201714451329,-0.33760721461315535,-0.44695155423263483,-0.6233328880197444,0.3005544020264622,1.3607120663974261,-0.6027430030965055,0.4790615727949924,-0.7190266828609567,-0.23814620876225992,-0.5606446408951659
SI024,2022.0,otoño,0.0,0.0,0.0,0.0,-0.444487483362286,-0.06902464359817553,0.05603466882906598,-0.20776747655483555,-0.238628206524465,-0.08513649244203748,-0.2826102937158856,0.53926156693419,-0.36985008750956433,-0.6715109767805293,-0.6027430030965055,-0.7874866344573054,-0.2010714077503783,-0.23814620876225992,-0.28191895265628997
BZ078,2021.0,invierno,0.0,0.0,0.0,0.0,-1.5618085867416387,-0.39748833093942,1.3364501895503687,1.591057713313469,-0.238628206524465,-0.3736744606376008,-0.41316176235068636,-0.4749165746213698,-0.464747526667632,-0.5758769512192138,-0.6463028127414232,0.5775708778035044,-0.6580907681420651,0.129427483703286,-0.19471780864698962
SI024,2023.0,primavera,0.0,0.0,0.0,0.0,0.9211271985458125,0.7521345747549356,0.12305366302659985,-0.41293302240387014,-0.39995352621483765,-0.3736744606376008,-0.374764271575745,-0.25229210452380785,-0.464747526667632,-0.8149620151225025,-0.32271565537917796,-1.0970873073412002,-0.5971548534231735,-0.23814620876225992,-0.28191895265628997
